,Car_Price,Vehicle_Age,KM_Travelled,Fuel_Type,HP,Paint_Type,Transmission_Type,Engine_Size,Doors,Weight,Age_Group
0,13500,23,46986,Diesel,90,Metallic,Manual,2000,ثلاثة,1165.0,Old
1,13750,23,72937,Diesel,90,Metallic,Manual,2000,ثلاثة,1165.0,Old
2,13950,24,41711,Diesel,90,Metallic,Manual,2000,ثلاثة,1165.0,Old
3,14950,26,48000,Diesel,90,Non-Metallic,Manual,2000,ثلاثة,1165.0,Old
4,13750,30,38500,Diesel,90,Non-Metallic,Manual,2000,ثلاثة,1170.0,Old
5,12950,32,61000,Diesel,90,Non-Metallic,Manual,2000,ثلاثة,1170.0,Old
6,16900,27,11000,Diesel,101,Metallic,Manual,2000,ثلاثة,1245.0,Old
7,18600,30,75889,Petrol,90,Metallic,Manual,2000,ثلاثة,1245.0,Old
8,21500,27,19700,Petrol,192,Non-Metallic,Manual,1800,ثلاثة,1185.0,Old
9,12950,23,71138,Diesel,101,Metallic,Manual,1900,ثلاثة,1105.0,Old
10,20950,25,31461,Petrol,192,Non-Metallic,Manual,1800,ثلاثة,1185.0,Old
11,19950,22,43610,Petrol,192,Non-Metallic,Manual,1800,ثلاثة,1185.0,Old
12,19600,25,32189,Petrol,192,Non-Metallic,Manual,1800,ثلاثة,1185.0,Old
13,21500,31,23000,Petrol,192,Metallic,Manual,1800,ثلاثة,1185.0,Old
14,22500,32,34131,Petrol,192,Metallic,Manual,1800,ثلاثة,1185.0,Old
15,22000,28,18739,Petrol,101,Non-Metallic,Manual,1800,ثلاثة,1185.0,Old
16,22750,30,34000,Petrol,192,Metallic,Manual,1800,ثلاثة,1185.0,Old
17,17950,24,21716,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
18,16750,24,25563,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1065.0,Old
19,16950,30,64359,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
20,15950,30,67660,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
21,16950,29,43905,Petrol,110,Non-Metallic,Auto,1600,ثلاثة,1170.0,Old
22,15950,28,56349,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
23,16950,28,32220,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
24,16250,29,25813,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
25,15950,25,28450,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
26,17495,27,34545,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
27,15750,29,41415,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
28,16950,28,44142,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1120.0,Old
29,17950,30,11090,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
30,12950,29,9750,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
31,15750,22,35199,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
32,15950,27,29510,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
33,14950,55,32692,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
34,15500,22,41000,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
35,15750,26,43000,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1100.0,Old
36,15950,25,25000,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1100.0,Old
37,14950,23,10000,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
38,15750,32,25329,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
39,14750,27,27500,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1100.0,Old
40,13950,22,49059,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1100.0,Old
41,16750,27,44068,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
42,13950,22,46961,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1100.0,Old
43,16950,27,110404,Diesel,90,Metallic,Manual,2000,خمسة,1255.0,Old
44,16950,22,100250,Petrol,90,Non-Metallic,Manual,2000,خمسة,1255.0,Old
45,19000,23,84000,Diesel,90,Metallic,Manual,2000,خمسة,1270.0,Old
46,17950,27,79375,Diesel,90,Metallic,Manual,2000,خمسة,1255.0,Old
47,15800,22,75048,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
48,17950,22,72215,Diesel,90,Metallic,Manual,2000,خمسة,1255.0,Old
49,21950,31,64982,Petrol,192,Metallic,Manual,1800,خمسة,1195.0,Old
50,17950,22,62636,Diesel,90,Metallic,Manual,2000,خمسة,1255.0,Old
51,15750,30,57086,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
52,20500,26,56000,Petrol,110,Metallic,Auto,1600,خمسة,1180.0,Old
53,21950,27,49866,Petrol,192,Metallic,Manual,1800,خمسة,1195.0,Old
54,15500,25,49163,Petrol,110,Non-Metallic,Auto,1600,خمسة,1165.0,Old
55,13250,55,45725,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
56,15250,28,43210,Petrol,97,Non-Metallic,Manual,1400,خمسة,1110.0,Old
57,15250,26,43000,Petrol,97,Non-Metallic,Manual,1400,خمسة,1110.0,Old
58,18950,23,39704,Petrol,110,Metallic,Auto,1600,خمسة,1180.0,Old
59,15999,30,38950,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
60,14950,22,37400,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
61,16500,27,37177,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
62,18750,31,36544,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
63,17950,30,33511,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
64,17950,27,11000,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
65,16950,26,32181,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
66,18950,28,30993,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
67,14950,22,30400,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
68,22250,22,30000,Diesel,110,Metallic,Manual,2000,خمسة,1275.0,Old
69,15950,25,29719,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
70,15950,28,29206,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
71,12995,32,29198,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
72,18950,28,28817,Petrol,110,Metallic,Manual,1598,خمسة,1130.0,Old
73,15750,23,28227,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
74,19950,28,28000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Old
75,16950,23,28000,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
76,18750,31,25266,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
77,18450,27,23489,Petrol,110,Non-Metallic,Manual,1600,خمسة,1115.0,Old
78,16895,29,22575,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
79,14900,30,22000,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
80,18950,25,20019,Petrol,110,Metallic,Auto,1600,خمسة,1180.0,Old
81,17250,29,20000,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
82,15450,25,17003,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
83,17950,55,16238,Petrol,110,Metallic,Auto,1600,خمسة,1180.0,Old
84,16650,25,15414,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
85,17450,28,8537,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
86,14900,30,7000,Petrol,97,Metallic,Manual,1400,خمسة,1100.0,Old
87,17950,20,66966,Diesel,90,Metallic,Manual,2000,ثلاثة,1245.0,Old
88,15950,19,51884,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
89,21950,19,50005,Diesel,110,Metallic,Manual,2000,ثلاثة,1265.0,Old
90,16450,20,48110,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
91,22250,20,11000,Diesel,90,Metallic,Manual,2000,ثلاثة,1260.0,Old
92,19950,55,34472,Diesel,90,Metallic,Manual,1995,ثلاثة,1260.0,Old
93,15950,20,33329,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
