Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_digree,reading_digree,writing_score
663,female,group C,high school,standard,none,65,69.0,67
287,female,group B,some high school,standard,none,67,89.0,82
626,male,group B,associate's degree,free/reduced,completed,69,70.0,63
686,male,group E,some college,standard,completed,85,75.0,68
773,female,group C,bachelor's degree,free/reduced,none,62,78.0,79
569,male,group D,bachelor's degree,free/reduced,none,68,68.0,67
945,female,group C,associate's degree,standard,none,54,61.0,58
735,male,group C,master's degree,standard,none,67,57.0,59
17,female,group B,some high school,free/reduced,none,18,32.0,28
127,male,group D,some college,standard,completed,65,77.0,74
322,female,group C,some college,standard,none,71,81.0,80
255,female,group E,some college,standard,none,62,73.0,70
838,male,group B,associate's degree,free/reduced,completed,58,57.0,53
20975,female,group D,some college,free/reduced,none,49,75.0,61
190,female,group E,associate's degree,standard,none,66,65.0,69
115,male,group C,high school,standard,none,84,77.0,74
20969,male,group C,some college,standard,none,63,63.0,69
789,female,group C,master's degree,free/reduced,none,52,65.0,61
606,female,group C,associate's degree,standard,none,85,84.0,82
180,male,group C,master's degree,free/reduced,completed,62,68.0,75
301,male,group D,some high school,free/reduced,none,56,54.0,52
962,female,group E,associate's degree,standard,none,100,100.0,100
917,female,group C,high school,standard,none,44,61.0,52
922,male,group D,high school,standard,none,72,66.0,66
891,female,group E,associate's degree,standard,none,85,92.0,85
985,male,group A,high school,standard,none,57,51.0,54
846,male,group C,master's degree,standard,completed,91,85.0,85
517,female,group E,some college,standard,completed,66,74.0,73
372,male,group D,some high school,standard,none,74,74.0,72
45,male,group B,associate's degree,standard,none,65,54.0,57
476,male,group E,bachelor's degree,standard,completed,76,62.0,66
157,male,group B,some college,free/reduced,none,60,60.0,60
946,male,group B,high school,standard,none,82,82.0,80
171,male,group E,some high school,standard,none,94,88.0,78
16,male,group C,high school,standard,none,88,69.15102702187485,86
511,male,group A,some high school,standard,none,64,50.0,43
48,female,group D,associate's degree,free/reduced,completed,57,74.0,76
191,male,group D,some college,standard,completed,76,83.0,79
546,female,group A,some high school,standard,completed,92,100.0,97
515,female,group C,some high school,standard,completed,76,87.0,85
867,male,group B,associate's degree,standard,none,61,42.0,41
873,male,group E,associate's degree,free/reduced,none,90,90.0,82
480,male,group B,high school,standard,completed,73,71.0,68
283,female,group D,some college,free/reduced,completed,70,78.0,78
913,female,group C,bachelor's degree,free/reduced,completed,47,62.0,66
18728,انثى,group A,some college,standard,completed,78,87.0,91
834,male,group B,some college,standard,none,58,50.0,45
225,female,group E,master's degree,free/reduced,none,45,56.0,54
26,male,group B,some college,standard,none,69,54.0,55
990,male,group E,high school,free/reduced,completed,86,81.0,75
20944,male,group C,high school,standard,none,81,66.0,66
437,male,group D,associate's degree,free/reduced,none,75,66.0,73
20962,female,group A,some college,standard,none,56,58.0,65
364,male,group C,some college,standard,none,59,60.0,58
229,female,group C,some college,standard,completed,88,95.0,94
37,female,group D,some high school,free/reduced,none,50,64.0,59
670,female,group C,high school,free/reduced,none,66,76.0,68
750,male,group D,some high school,standard,completed,71,69.0,68
20992,female,group A,some high school,free/reduced,none,44,75.0,45
374,female,group D,bachelor's degree,standard,none,59,70.0,73
469,male,group C,some college,standard,none,91,74.0,76
20978,male,group B,some college,free/reduced,completed,60,72.0,60
688,male,group A,high school,free/reduced,none,53,58.0,44
32,female,group E,master's degree,free/reduced,none,56,72.0,65
894,female,group E,associate's degree,standard,none,59,62.0,69
925,male,group E,some high school,standard,completed,74,64.0,60
194,female,group C,master's degree,standard,completed,69,84.0,85
20903,female,group C,master's degree,standard,none,73,78.0,77
20911,male,group E,bachelor's degree,standard,completed,79,64.0,70
503,female,group E,associate's degree,standard,completed,95,89.0,92
866,male,group C,high school,free/reduced,none,59,53.0,52
20979,male,group C,associate's degree,standard,none,62,65.0,78
20886,female,group E,associate's degree,standard,none,51,51.0,84
801,male,group C,some high school,standard,completed,76,80.0,73
579,female,group D,master's degree,standard,none,53,61.0,68
160,male,group B,associate's degree,free/reduced,completed,82,78.0,74
681,male,group B,high school,standard,none,60,68.0,60
20927,male,group E,some high school,standard,completed,74,68.0,60
162,male,group B,master's degree,free/reduced,none,49,53.0,52
822,male,group E,some college,free/reduced,completed,49,52.0,51
706,male,group D,high school,standard,none,46,34.0,36
19649,female,group E,high school,free/reduced,none,64,42.0,68
152,female,group B,associate's degree,standard,completed,59,70.0,66
868,male,group E,associate's degree,free/reduced,completed,78,74.0,72
888,female,group D,some college,free/reduced,none,69,65.0,74
989,female,group D,some college,free/reduced,completed,67,86.0,83
111,male,group C,high school,standard,none,62,55.0,49
226,female,group C,some college,standard,none,72,72.0,71
875,male,group C,some college,free/reduced,none,80,64.0,66
852,female,group E,some college,standard,none,87,85.0,93
103,male,group B,high school,standard,completed,60,44.0,47
421,female,group D,high school,standard,completed,57,58.0,64
419,male,group E,high school,free/reduced,completed,57,56.0,54
952,female,group E,some high school,free/reduced,none,74,74.0,72
586,female,group A,high school,standard,none,55,73.0,73
987,male,group E,some high school,standard,completed,81,75.0,76
673,female,group C,associate's degree,standard,completed,65,84.0,84
119,female,group C,some college,standard,none,55,69.0,65
53,male,group D,high school,standard,none,88,78.0,75
151,male,group A,bachelor's degree,standard,none,77,67.0,68
403,female,group D,high school,standard,completed,88,99.0,100
20990,female,group C,associate's degree,standard,none,40,57.0,51
207,male,group E,high school,standard,completed,81,80.0,76
20931,female,group C,some high school,free/reduced,none,48,86.0,51
659,male,group D,associate's degree,standard,none,90,87.0,85
20896,female,group E,associate's degree,standard,none,59,92.0,69
966,male,group A,some high school,standard,completed,66,68.0,64
8,male,group D,high school,free/reduced,completed,64,64.0,67
19630,male,group D,some college,free/reduced,none,49,57.0,36
36,female,group D,associate's degree,standard,none,74,81.0,83
452,female,group C,associate's degree,free/reduced,none,65,77.0,74
652,female,group D,some college,standard,completed,85,86.0,98
253,male,group D,master's degree,standard,none,80,80.0,72
303,male,group B,associate's degree,standard,none,80,76.0,64
948,male,group B,some high school,free/reduced,completed,49,50.0,52
571,male,group A,bachelor's degree,standard,none,91,96.0,92
624,female,group E,bachelor's degree,free/reduced,none,61,58.0,62
902,female,group A,high school,free/reduced,completed,34,48.0,41
914,female,group B,associate's degree,free/reduced,none,46,61.0,55
904,female,group D,some high school,free/reduced,none,67,84.0,84
262,female,group C,some high school,free/reduced,none,44,50.0,51
610,male,group D,some college,free/reduced,completed,69,60.0,63
297,male,group E,associate's degree,standard,completed,71,74.0,68
414,female,group C,bachelor's degree,free/reduced,completed,51,72.0,79
150,male,group A,some high school,standard,completed,62,67.0,69
20971,female,group B,bachelor's degree,standard,none,95,84.0,80
779,male,group E,associate's degree,standard,completed,94,85.0,82
641,female,group D,associate's degree,free/reduced,completed,74,88.0,90
20991,male,group E,some high school,standard,completed,81,76.0,76
20926,male,group D,high school,free/reduced,none,74,70.0,68
550,male,group C,some high school,free/reduced,none,79,76.0,65
999,female,group D,some college,free/reduced,none,77,86.0,86
488,male,group B,some high school,standard,completed,64,53.0,57
820,female,group A,some high school,standard,completed,85,90.0,92
711,female,group E,some high school,standard,completed,80,85.0,85
19648,female,group D,associate's degree,standard,none,39,70.0,65
147,male,group C,associate's degree,free/reduced,none,73,68.0,66
146,male,group B,some high school,standard,none,88,84.0,75
916,male,group E,bachelor's degree,standard,completed,100,100.0,100
345,female,group C,high school,standard,none,72,80.0,75
940,male,group C,master's degree,free/reduced,completed,72,66.0,72
20922,male,group D,high school,free/reduced,none,69,70.0,87
660,male,group C,some college,free/reduced,none,74,77.0,73
771,male,group D,bachelor's degree,standard,none,75,73.0,74
348,male,group D,high school,free/reduced,none,75,74.0,66
463,female,group C,some college,free/reduced,none,77,90.0,91
325,female,group C,some college,standard,none,82,90.0,94
186,male,group E,high school,standard,none,80,76.0,65
123,male,group D,high school,free/reduced,none,63,57.0,56
20902,male,group D,master's degree,standard,none,85,84.0,87
608,female,group E,some college,standard,none,61,64.0,62
143,male,group A,high school,standard,none,57,43.0,47
752,male,group C,master's degree,free/reduced,completed,79,77.0,75
20970,female,group E,associate's degree,standard,none,98,76.0,67
907,female,group D,some college,standard,completed,79,84.0,91
197,male,group E,high school,free/reduced,none,55,56.0,51
